UiD,num_pot,genotype,soil,treatment,id,num_leaf,tray,experiment,region,north_LatY,west_LongX,country,dw_g,dw_mg
,,Zm523,Sutton Bonington,20%FC,R102,L5,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0113,11.3
,,Zm523,Sutton Bonington,20%FC,R102,Stem,2,2,Sutton Bonington,52.833265,-1.24906,UK,0.0934,93.4
,,Zm523,Sutton Bonington,20%FC,R103,L1,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0107,10.7
,,Zm523,Sutton Bonington,20%FC,R103,L2,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0298,29.8
,,Zm523,Sutton Bonington,20%FC,R103,L3,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0686,68.6
,,Zm523,Sutton Bonington,20%FC,R103,L4,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0941,94.1
,,Zm523,Sutton Bonington,20%FC,R103,L5,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0669,66.9
,,Zm523,Sutton Bonington,20%FC,R103,L6,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0185,18.5
,,Zm523,Sutton Bonington,20%FC,R103,Stem,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.2094,209.4
,,B73,Sutton Bonington,50%FC,R114,L1,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.0117,11.7
,,B73,Sutton Bonington,50%FC,R114,L2,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.0366,36.6
,,B73,Sutton Bonington,50%FC,R114,L3,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.1089,108.9
,,B73,Sutton Bonington,50%FC,R114,L4,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.1774,177.4
,,B73,Sutton Bonington,50%FC,R114,L5,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.1127,112.7
,,B73,Sutton Bonington,50%FC,R114,L6,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.0146,14.6
,,B73,Sutton Bonington,50%FC,R114,Stem,11,2,Sutton Bonington,52.833265,-1.24906,UK,0.3843,384.3
,,B73,Sutton Bonington,50%FC,R115,L1,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0086,8.6
,,B73,Sutton Bonington,50%FC,R115,L2,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0265,26.5
,,B73,Sutton Bonington,50%FC,R115,L3,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.0692,69.2
,,B73,Sutton Bonington,50%FC,R115,L4,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.1614,161.4
,,B73,Sutton Bonington,50%FC,R115,L5,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.1922,192.2
,,B73,Sutton Bonington,50%FC,R115,L6,4,2,Sutton Bonington,52.833265,-1.24906,UK,0.1519,151.9
